Avocado,"Sweet: 3
Salty: 0
Sour: 1
Bitter: 0
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 4
Exp. Power: 0
Item Drop Power: 0
Raid Power: -1
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 7","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 0
Electric: 0
Psychic: 0
Ice: 0
Dragon: 6
Dark: 0
Fairy: 0",Avocado,3,6
Chorizo,"Sweet: 0
Salty: 4
Sour: 0
Bitter: 2
Hot: 4
Umami: 0","Egg Power: 0
Catching Power: 0
Exp. Power: 7
Item Drop Power: -1
Raid Power: 0
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 4","Normal: 12
Fighting: 0
Flying: 0
Poison: 12
Ground: 0
Rock: 0
Bug: 12
Ghost: 0
Steel: 0
Fire: 12
Water: 0
Grass: 0
Electric: 12
Psychic: 0
Ice: 0
Dragon: 12
Dark: 0
Fairy: 0",Chorizo,3,6
Basil,"Sweet: 0
Salty: 1
Sour: 1
Bitter: 4
Hot: 0
Umami: 0","Egg Power: 2
Catching Power: 0
Exp. Power: 0
Item Drop Power: 0
Raid Power: 2
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: -2","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 0
Ghost: 0
Steel: 0
Fire: 1
Water: 1
Grass: 1
Electric: 1
Psychic: 1
Ice: 1
Dragon: 1
Dark: 1
Fairy: 1",Basil,4,4
Cherry Tomatoes,"Sweet: 3
Salty: 0
Sour: 5
Bitter: 1
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 4
Exp. Power: 0
Item Drop Power: 0
Raid Power: -1
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 7","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 6
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 0
Electric: 0
Psychic: 0
Ice: 0
Dragon: 0
Dark: 0
Fairy: 0",Cherry Tomatoes,3,9
Klawf Stick,"Sweet: 4
Salty: 4
Sour: 0
Bitter: 0
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 4
Exp. Power: 0
Item Drop Power: 0
Raid Power: -1
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 7","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 0
Electric: 0
Psychic: 0
Ice: 6
Dragon: 0
Dark: 0
Fairy: 0",Klawf Stick,3,3
Bacon,"Sweet: 1
Salty: 5
Sour: 1
Bitter: 4
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 4
Exp. Power: 0
Item Drop Power: 0
Raid Power: -1
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 7","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 6
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 0
Electric: 0
Psychic: 0
Ice: 0
Dragon: 0
Dark: 0
Fairy: 0",Bacon,3,3
Fried Fillet,"Sweet: 2
Salty: 3
Sour: 0
Bitter: 3
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 21
Exp. Power: 0
Item Drop Power: 0
Raid Power: 12
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: -3","Normal: 20
Fighting: 0
Flying: 20
Poison: 0
Ground: 20
Rock: 0
Bug: 20
Ghost: 0
Steel: 20
Fire: 0
Water: 20
Grass: 0
Electric: 20
Psychic: 0
Ice: 20
Dragon: 0
Dark: 20
Fairy: 0",Fried Fillet,1,1
Hamburger,"Sweet: 6
Salty: 12
Sour: 0
Bitter: 9
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 12
Exp. Power: 0
Item Drop Power: 0
Raid Power: -3
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 21","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 0
Ghost: 0
Steel: 18
Fire: 0
Water: 0
Grass: 0
Electric: 0
Psychic: 0
Ice: 0
Dragon: 0
Dark: 0
Fairy: 0",Hamburger,1,1
Jalapeño,"Sweet: 0
Salty: 0
Sour: 2
Bitter: 0
Hot: 5
Umami: 0","Egg Power: 4
Catching Power: -1
Exp. Power: 0
Item Drop Power: 7
Raid Power: 0
Title Power: 0
Sparkling Power: 0
Humongo Power: -5
Teensy Power: 0
Encounter Power: 0","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 7
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 7
Electric: 0
Psychic: 0
Ice: 0
Dragon: 0
Dark: 0
Fairy: 7",Jalapeño,3,3
Lettuce,"Sweet: 1
Salty: 0
Sour: 0
Bitter: 2
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 4
Exp. Power: 0
Item Drop Power: 0
Raid Power: -1
Title Power: 0
Sparkling Power: 0
Humongo Power: 0
Teensy Power: 0
Encounter Power: 7","Normal: 0
Fighting: 0
Flying: 0
Poison: 0
Ground: 0
Rock: 0
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 6
Electric: 0
Psychic: 0
Ice: 0
Dragon: 0
Dark: 0
Fairy: 0",Lettuce,3,3
Noodles,"Sweet: 0
Salty: 4
Sour: 0
Bitter: 0
Hot: 0
Umami: 0","Egg Power: 0
Catching Power: 0
Exp. Power: 0
Item Drop Power: 0
Raid Power: 0
Title Power: 0
Sparkling Power: 0
Humongo Power: 21
Teensy Power: -3
Encounter Power: 12","Normal: 0
Fighting: 0
Flying: 0
Poison: 30
Ground: 30
Rock: 30
Bug: 0
Ghost: 0
Steel: 0
Fire: 0
Water: 0
Grass: 0
Electric: 30
Psychic: 30
Ice: 30
Dragon: 0
Dark: 0
Fairy: 0",Noodles,1,1
